SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER
20MICRONS, EQ, 08-Jan-2018, 63.60, 64.00, 64.25, 61.05, 62.25, 61.65, 62.31, 298210, 185.80, 2177, 174440, 58.50
3IINFOTECH, EQ, 08-Jan-2018, 8.80, 8.90, 9.15, 8.55, 8.70, 8.75, 8.81, 19114665, 1684.15, 7898, 8750006, 45.78
3MINDIA, EQ, 08-Jan-2018, 19367.50, 19461.00, 19650.00, 19100.00, 19200.00, 19194.05, 19304.44, 2200, 424.70, 688, 1681, 76.41
5PAISA, EQ, 08-Jan-2018, 330.70, 339.95, 347.20, 332.40, 347.20, 347.20, 344.33, 14044, 48.36, 272, 12587, 89.63
63MOONS, EQ, 08-Jan-2018, 118.65, 120.30, 122.90, 118.00, 119.35, 119.60, 120.50, 477727, 575.64, 5400, 151845, 31.78
8KMILES, EQ, 08-Jan-2018, 863.05, 874.00, 878.00, 856.10, 860.85, 859.15, 863.37, 79758, 688.61, 3859, 34707, 43.52
A2ZINFRA, EQ, 08-Jan-2018, 45.50, 46.00, 46.40, 44.70, 45.15, 45.20, 45.42, 1552963, 705.30, 5783, 792495, 51.03
AARTIDRUGS, EQ, 08-Jan-2018, 737.55, 745.50, 752.80, 725.60, 733.00, 732.15, 740.08, 60512, 447.84, 2311, 31341, 51.79
AARTIIND, EQ, 08-Jan-2018, 1170.60, 1170.60, 1171.95, 1145.05, 1149.00, 1149.80, 1159.91, 46035, 533.97, 2426, 34616, 75.19
AARVEEDEN, EQ, 08-Jan-2018, 53.25, 53.25, 54.80, 52.00, 52.50, 52.45, 52.92, 42925, 22.71, 345, 28157, 65.60
AARVI, SM, 08-Jan-2018, 100.00, 100.00, 100.50, 97.00, 100.50, 100.50, 99.58, 12000, 11.95, 6, 10000, 83.33
ABAN, EQ, 08-Jan-2018, 215.55, 217.00, 226.95, 215.55, 219.20, 220.05, 221.11, 4586419, 10141.16, 40361, 926723, 20.21
ABB, EQ, 08-Jan-2018, 1435.10, 1444.00, 1447.45, 1430.00, 1435.00, 1437.60, 1439.62, 130805, 1883.09, 1731, 114019, 87.17
ABBOTINDIA, EQ, 08-Jan-2018, 5383.15, 5400.00, 5400.00, 5334.05, 5335.00, 5340.55, 5360.52, 6513, 349.13, 605, 5596, 85.92
ABCAPITAL, EQ, 08-Jan-2018, 184.85, 185.90, 186.90, 182.65, 183.30, 183.10, 183.95, 4784106, 8800.60, 34845, 3542135, 74.04
ABFRL, EQ, 08-Jan-2018, 177.50, 179.00, 182.85, 177.00, 179.05, 179.00, 180.00, 654342, 1177.84, 9450, 362919, 55.46
ABGSHIP, BZ, 08-Jan-2018, 13.60, 13.80, 13.90, 13.30, 13.50, 13.60, 13.74, 17792, 2.45, 79, -, -
ABMINTLTD, BE, 08-Jan-2018, 49.00, 51.45, 51.45, 51.45, 51.45, 51.45, 51.45, 170, 0.09, 5, -, -
ACC, EQ, 08-Jan-2018, 1809.95, 1816.00, 1827.95, 1800.00, 1827.00, 1825.00, 1819.76, 189168, 3442.39, 14972, 86388, 45.67
ACCELYA, EQ, 08-Jan-2018, 1465.95, 1465.00, 1472.00, 1447.60, 1447.60, 1451.20, 1456.57, 1931, 28.13, 184, 1696, 87.83
ACCORD, SM, 08-Jan-2018, 56.80, 65.80, 65.80, 62.00, 62.00, 62.00, 63.90, 4000, 2.56, 2, 4000, 100.00
ACE, EQ, 08-Jan-2018, 156.25, 157.65, 160.85, 155.20, 157.55, 157.80, 157.66, 661911, 1043.57, 5131, 318782, 48.16
ACEINTEG, SM, 08-Jan-2018, 43.05, 43.50, 43.50, 43.50, 43.50, 43.50, 43.50, 3000, 1.31, 1, 3000, 100.00
ADANIENT, EQ, 08-Jan-2018, 193.15, 192.60, 201.00, 192.30, 196.10, 196.45, 197.08, 8253904, 16266.54, 41511, 858038, 10.40
ADANIPORTS, EQ, 08-Jan-2018, 423.80, 424.00, 427.50, 421.10, 422.90, 422.90, 423.34, 3447843, 14596.04, 42969, 2059483, 59.73
ADANIPOWER, EQ, 08-Jan-2018, 46.40, 47.05, 47.80, 46.50, 46.90, 46.95, 47.05, 14597285, 6868.69, 24254, 2528366, 17.32
ADANITRANS, EQ, 08-Jan-2018, 209.65, 211.95, 213.00, 208.65, 211.75, 210.95, 210.89, 981657, 2070.19, 11962, 438520, 44.67
ADFFOODS, EQ, 08-Jan-2018, 310.80, 311.95, 314.70, 308.00, 309.60, 309.40, 311.19, 168327, 523.81, 5122, 54837, 32.58
ADHUNIK, BE, 08-Jan-2018, 5.75, 5.50, 5.70, 5.50, 5.50, 5.50, 5.51, 444560, 24.47, 2115, -, -
ADHUNIKIND, BE, 08-Jan-2018, 101.20, 101.00, 103.50, 96.15, 101.00, 100.50, 99.78, 45608, 45.51, 176, -, -
ADLABS, BE, 08-Jan-2018, 69.10, 69.50, 70.85, 69.00, 70.00, 70.00, 69.85, 84212, 58.82, 294, -, -
ADORWELD, EQ, 08-Jan-2018, 555.65, 561.45, 594.90, 560.00, 571.00, 573.75, 579.91, 175471, 1017.57, 5894, 47116, 26.85
ADSL, BE, 08-Jan-2018, 26.30, 26.50, 27.10, 25.70, 27.00, 26.80, 26.50, 56373, 14.94, 177, -, -
ADVANIHOTR, EQ, 08-Jan-2018, 84.85, 86.00, 86.40, 81.30, 84.00, 84.45, 83.87, 266490, 223.51, 2381, 136147, 51.09
ADVENZYMES, EQ, 08-Jan-2018, 302.60, 305.40, 311.25, 304.05, 305.00, 304.95, 306.84, 269317, 826.37, 5710, 119106, 44.23
AEGISCHEM, EQ, 08-Jan-2018, 294.85, 296.70, 299.00, 290.10, 293.00, 293.20, 295.72, 214411, 634.06, 3612, 105057, 49.00
AFL, EQ, 08-Jan-2018, 64.85, 66.40, 71.30, 63.65, 70.00, 69.70, 67.91, 76039, 51.64, 523, 49420, 64.99
AGARIND, BE, 08-Jan-2018, 615.00, 585.00, 635.00, 584.25, 610.00, 617.95, 606.81, 702, 4.26, 26, -, -
AGCNET, BE, 08-Jan-2018, 126.45, 128.00, 130.00, 128.00, 128.00, 128.40, 128.98, 6534, 8.43, 51, -, -
AGLSL, EQ, 08-Jan-2018, 120.15, 121.20, 127.50, 119.15, 123.00, 123.95, 123.05, 20347, 25.04, 361, 13743, 67.54
AGRITECH, EQ, 08-Jan-2018, 119.65, 120.10, 121.50, 119.00, 120.05, 120.40, 120.20, 26364, 31.69, 412, 17422, 66.08
AGROPHOS, SM, 08-Jan-2018, 31.80, 31.50, 31.65, 31.50, 31.50, 31.50, 31.53, 54000, 17.03, 6, 30000, 55.56
AHLEAST, EQ, 08-Jan-2018, 280.60, 282.00, 333.00, 276.15, 327.80, 324.20, 318.51, 23271, 74.12, 390, 14324, 61.55
AHLUCONT, EQ, 08-Jan-2018, 387.05, 394.85, 394.85, 381.40, 387.00, 384.70, 385.30, 17750, 68.39, 749, 10680, 60.17
AHLWEST, BE, 08-Jan-2018, 267.00, 270.00, 280.35, 270.00, 275.10, 279.60, 276.13, 2089, 5.77, 52, -, -
AIAENG, EQ, 08-Jan-2018, 1597.75, 1605.75, 1615.00, 1566.20, 1569.00, 1576.60, 1591.60, 20027, 318.75, 3092, 15106, 75.43
AICHAMP, BE, 08-Jan-2018, 25.70, 26.95, 26.95, 26.95, 26.95, 26.95, 26.95, 25, 0.01, 2, -, -
AIFL, EQ, 08-Jan-2018, 455.80, 458.00, 466.95, 452.70, 453.25, 454.35, 460.75, 138884, 639.91, 3205, 17048, 12.27
AIRAN, SM, 08-Jan-2018, 246.75, 235.15, 259.00, 235.15, 259.00, 259.00, 249.22, 214000, 533.32, 64, 20000, 9.35
AIROLAM, SM, 08-Jan-2018, 55.95, 56.00, 56.40, 54.50, 54.80, 54.70, 55.28, 78000, 43.11, 26, 63000, 80.77
AISL, SM, 08-Jan-2018, 174.05, 171.00, 173.00, 166.50, 168.20, 168.50, 170.44, 46800, 79.77, 29, 38400, 82.05
AJANTPHARM, EQ, 08-Jan-2018, 1523.15, 1534.80, 1537.90, 1505.00, 1511.95, 1512.35, 1524.64, 120700, 1840.25, 5886, 30537, 25.30
AJMERA, EQ, 08-Jan-2018, 328.45, 330.00, 334.00, 323.10, 325.05, 324.70, 328.38, 85922, 282.15, 1672, 49134, 57.18
AJOONI, SM, 08-Jan-2018, 53.55, 56.45, 56.90, 52.95, 53.25, 53.85, 54.19, 540000, 292.65, 135, 320000, 59.26
AKASH, SM, 08-Jan-2018, 79.25, 75.00, 76.00, 75.00, 76.00, 76.00, 75.46, 65000, 49.05, 2, 65000, 100.00
AKSHARCHEM, EQ, 08-Jan-2018, 767.45, 767.00, 784.00, 753.25, 763.20, 765.85, 767.50, 21223, 162.89, 995, 10577, 49.84
AKSHOPTFBR, BE, 08-Jan-2018, 44.15, 46.35, 46.35, 41.95, 44.85, 44.80, 44.62, 4670751, 2083.96, 13119, -, -
AKZOINDIA, EQ, 08-Jan-2018, 1864.85, 1879.90, 1903.00, 1865.25, 1901.10, 1896.20, 1886.77, 12050, 227.36, 976, 10437, 86.61
ALANKIT, EQ, 08-Jan-2018, 80.70, 76.70, 76.70, 76.70, 76.70, 76.70, 76.70, 141158, 108.27, 739, 134612, 95.36
ALBERTDAVD, EQ, 08-Jan-2018, 403.10, 411.85, 431.00, 408.65, 421.05, 421.80, 423.89, 75613, 320.51, 1874, 45838, 60.62
ALBK, EQ, 08-Jan-2018, 73.05, 73.70, 73.70, 72.60, 73.35, 73.20, 73.15, 1273547, 931.60, 6587, 278850, 21.90
